1986_LST,1990_LST,2017_LST,NDBI_1986,NDBI_1990,NDBI_2017,NDLI_1986,NDLI_1990,NDLI_2017,NDVI_1986,NDVI_1990,NDVI_2017,,,LST,1986,1990,2017
25.534,22.509,26.271,-0.013,-0.042,-0.201,0.026,-0.012,0.020,0.502,0.417,0.652,,,,,,
25.980,23.360,26.766,0.037,-0.022,-0.042,-0.007,0.008,-0.001,0.458,0.471,0.579,,,,,,
24.655,23.605,28.070,-0.012,-0.096,-0.045,0.000,0.023,0.000,0.498,0.529,0.591,,,,,,
29.714,21.632,26.658,0.151,0.003,0.093,0.000,0.009,-0.031,0.158,0.389,0.407,,,,,,
26.430,25.162,27.167,0.098,0.064,0.122,-0.006,-0.007,-0.042,0.424,0.366,0.317,,,,,,
27.697,23.820,27.176,0.032,-0.021,0.001,-0.018,-0.028,-0.009,0.450,0.438,0.473,,,,,,
23.000,20.746,24.301,-0.178,-0.162,-0.201,0.017,0.021,0.008,0.274,0.367,0.420,,,,,,
25.124,23.428,28.871,-0.014,-0.042,0.020,0.000,-0.008,-0.003,0.445,0.326,0.424,,,,,,
25.985,23.821,27.578,-0.111,-0.099,0.064,0.017,0.000,-0.036,0.451,0.435,0.347,,,,,,
27.744,24.726,26.732,0.119,0.136,-0.048,-0.024,-0.017,-0.013,0.353,0.370,0.542,,,,,,
25.240,25.169,27.834,-0.034,0.079,0.014,0.001,-0.018,-0.032,0.517,0.347,0.403,,,,,,
24.240,22.538,26.326,-0.046,-0.014,-0.057,0.012,-0.020,-0.014,0.466,0.346,0.466,,,,,,
26.427,23.826,28.175,0.038,-0.039,-0.033,0.002,-0.016,-0.031,0.430,0.425,0.422,,,,,,
27.772,24.760,28.798,0.217,0.117,0.174,-0.046,-0.054,-0.057,0.208,0.203,0.242,,,,,,
24.684,22.472,27.538,0.026,-0.052,-0.023,0.003,0.018,-0.011,0.454,0.480,0.432,,,,,,
26.432,22.959,27.353,0.060,0.040,-0.044,-0.011,0.008,0.000,0.420,0.399,0.572,,,,,,
25.134,22.513,26.149,0.025,-0.041,0.059,-0.003,0.006,-0.039,0.426,0.408,0.348,,,,,,
27.767,24.317,28.817,0.198,0.077,0.206,-0.046,-0.030,-0.054,0.267,0.273,0.207,,,,,,
26.060,26.516,28.050,0.178,0.125,0.074,-0.058,-0.059,-0.037,0.211,0.187,0.359,,,,,,
30.983,23.412,26.470,0.140,0.025,0.003,0.000,0.008,0.003,0.160,0.371,0.509,,,,,,
29.042,26.480,28.842,0.252,0.160,0.085,-0.045,-0.041,-0.025,0.224,0.291,0.422,,,,,,
26.483,24.760,28.226,0.116,0.094,0.176,-0.023,-0.049,-0.054,0.279,0.222,0.233,,,,,,
25.623,24.324,27.549,0.071,0.107,0.041,-0.033,-0.048,-0.036,0.267,0.213,0.326,,,,,,
25.617,22.560,27.117,0.111,0.082,0.153,-0.043,-0.022,-0.036,0.295,0.256,0.258,,,,,,
