1986_LST,1990_LST,2017_LST,NDBI_1986,NDBI_1990,NDBI_2017,NDLI_1986,NDLI_1990,NDLI_2017,NDVI_1986,NDVI_1990,NDVI_2017,,,LST,1986,1990,2017
25.534,22.929,28.656,0.011,-0.056,-0.031,0.013,0.006,0.004,0.480,0.457,0.601,,,,,,
26.871,24.722,27.465,0.067,0.060,0.043,-0.022,-0.014,-0.040,0.401,0.380,0.321,,,,,,
27.340,22.505,27.180,0.160,0.003,0.093,-0.011,0.020,-0.030,0.271,0.424,0.383,,,,,,
29.023,23.411,27.180,0.092,0.034,0.006,0.003,-0.019,-0.016,0.326,0.374,0.474,,,,,,
30.151,23.835,26.081,0.130,0.058,-0.008,-0.030,0.006,-0.007,0.177,0.408,0.505,,,,,,
24.919,22.275,25.405,-0.490,-0.219,-0.413,0.050,0.040,0.010,-0.026,0.023,-0.068,,,,,,
28.604,23.388,27.259,0.126,-0.008,0.056,0.002,0.016,-0.038,0.317,0.424,0.376,,,,,,
27.750,23.404,28.081,0.157,0.041,0.130,-0.009,-0.009,-0.016,0.337,0.391,0.381,,,,,,
24.476,21.381,24.951,-0.365,-0.279,-0.419,0.048,0.043,0.009,0.015,0.027,-0.064,,,,,,
29.451,24.272,28.479,0.126,0.010,0.123,-0.011,0.008,-0.019,0.297,0.409,0.343,,,,,,
26.411,24.667,27.612,0.000,-0.063,0.092,0.004,0.000,-0.051,0.457,0.481,0.318,,,,,,
24.654,22.077,25.917,0.007,0.003,-0.059,0.014,-0.009,-0.003,0.500,0.391,0.558,,,,,,
26.092,22.957,26.474,-0.105,-0.111,-0.177,0.011,0.017,0.002,0.560,0.507,0.622,,,,,,
26.908,24.758,28.374,0.058,0.043,0.128,-0.037,-0.063,-0.063,0.295,0.244,0.237,,,,,,
25.106,22.912,26.380,-0.005,-0.039,0.029,0.001,0.008,-0.028,0.474,0.484,0.451,,,,,,
25.585,23.831,27.586,-0.126,-0.137,0.043,-0.014,0.001,-0.039,0.390,0.416,0.357,,,,,,
27.772,22.097,26.218,0.115,0.008,0.039,-0.001,0.009,-0.029,0.209,0.339,0.398,,,,,,
35.151,25.181,28.588,0.189,0.145,0.050,-0.012,-0.012,-0.012,0.195,0.307,0.476,,,,,,
24.655,22.912,25.269,-0.106,-0.092,0.082,0.015,0.009,-0.046,0.498,0.483,0.344,,,,,,
25.389,22.509,27.686,-0.026,0.006,-0.176,0.013,0.017,0.028,0.533,0.417,0.703,,,,,,
27.693,24.281,26.746,0.048,0.055,-0.084,0.005,-0.004,-0.005,0.457,0.390,0.517,,,,,,
23.680,21.573,28.757,-0.194,-0.069,-0.123,0.027,0.018,0.017,0.580,0.494,0.603,,,,,,
26.895,22.973,27.970,0.115,0.034,0.091,-0.007,-0.022,-0.043,0.343,0.369,0.358,,,,,,
25.133,25.606,25.961,-0.041,0.031,-0.005,0.013,-0.010,-0.033,0.505,0.335,0.439,,,,,,
24.434,22.022,25.607,-0.052,-0.138,-0.147,0.013,0.030,0.021,0.524,0.489,0.617,,,,,,
25.114,23.407,26.096,-0.024,0.019,0.031,0.002,-0.018,-0.044,0.503,0.384,0.389,,,,,,
25.167,24.740,26.559,0.123,0.096,-0.056,-0.019,-0.008,-0.005,0.353,0.331,0.562,,,,,,
24.738,21.163,24.920,-0.164,-0.164,-0.239,0.017,0.045,0.010,0.336,0.435,0.494,,,,,,
27.319,22.535,26.368,0.109,0.064,0.012,-0.012,-0.021,-0.016,0.350,0.357,0.451,,,,,,
27.681,23.382,30.105,0.047,0.028,0.057,0.005,-0.018,-0.030,0.476,0.434,0.241,,,,,,
24.676,22.920,27.104,-0.092,-0.150,-0.068,0.013,0.012,-0.008,0.503,0.550,0.534,,,,,,
26.907,22.517,28.005,0.127,-0.001,-0.012,-0.024,0.001,-0.005,0.299,0.399,0.405,,,,,,
26.869,25.591,28.867,0.099,0.029,0.119,-0.019,-0.007,-0.042,0.403,0.375,0.331,,,,,,
24.654,23.116,27.775,-0.066,-0.146,-0.133,0.012,0.013,0.018,0.499,0.524,0.672,,,,,,
24.310,22.065,25.872,0.018,-0.046,-0.092,0.015,0.027,0.002,0.310,0.417,0.500,,,,,,
25.149,24.003,27.059,-0.087,-0.080,-0.224,0.002,0.013,0.013,0.507,0.525,0.626,,,,,,
27.699,23.804,29.315,0.032,-0.006,-0.026,-0.017,0.019,-0.012,0.447,0.464,0.476,,,,,,
28.583,23.861,29.182,0.184,0.093,-0.083,0.001,-0.023,0.002,0.377,0.345,0.600,,,,,,
24.922,21.859,25.554,-0.433,-0.328,-0.314,0.023,0.028,-0.006,-0.028,0.032,-0.036,,,,,,
25.573,24.286,26.297,0.057,0.039,-0.003,0.003,-0.021,-0.010,0.415,0.380,0.515,,,,,,
28.896,22.946,29.094,0.100,-0.019,0.022,-0.023,0.016,-0.012,0.188,0.427,0.332,,,,,,
26.003,24.260,28.192,0.093,-0.014,0.034,-0.009,0.008,-0.017,0.419,0.433,0.443,,,,,,
25.557,23.384,26.899,0.007,-0.071,-0.086,-0.020,0.009,0.018,0.443,0.431,0.622,,,,,,
24.733,22.034,27.416,0.023,-0.022,0.016,-0.013,0.026,-0.005,0.351,0.471,0.472,,,,,,
25.143,23.817,27.701,0.041,-0.011,-0.091,0.001,0.018,0.019,0.409,0.442,0.635,,,,,,
26.046,24.759,28.514,0.145,0.097,0.121,-0.034,-0.050,-0.053,0.309,0.224,0.263,,,,,,
28.186,23.377,28.320,0.143,-0.072,-0.066,-0.024,0.017,0.006,0.297,0.444,0.516,,,,,,
26.438,24.280,27.609,0.114,0.049,0.077,-0.019,-0.001,-0.022,0.409,0.392,0.409,,,,,,
